event_name,location,city,date,time,event_link
LKL: Vilniaus ”Rytas” – Klaipėdos ”Neptūnas”,Twinsbet Arena,Vilnius,2026-10-10,16:50,https://www.arenavilnius.lt/en/renginys/lkl-vilniaus-rytas-klaipedos-neptunas/
BCL: Vilniaus ”Rytas” – Baku ”Sabah BC”,Twinsbet Arena,Vilnius,2026-10-06,19:30,https://www.arenavilnius.lt/en/renginys/bcl-vilniaus-rytas-baku-sabah-bc/
LKL: Vilniaus ”Rytas” – Gargždų ”Gargždai”,Twinsbet Arena,Vilnius,2026-10-03,16:30,https://www.arenavilnius.lt/en/renginys/lkl-vilniaus-rytas-gargzdu-gargzdai/
BCL: Vilniaus ”Rytas” – Trabzono ”Trabzonspor BC”,Twinsbet Arena,Vilnius,2026-10-28,19:30,https://www.arenavilnius.lt/en/renginys/bcl-vilniaus-rytas-trabzono-trabzonspor-bc/
LKL: Vilniaus ”Rytas” – Kauno ”Žalgiris”,Twinsbet Arena,Vilnius,2026-11-02,16:50,https://www.arenavilnius.lt/en/renginys/lkl-vilniaus-rytas-kauno-zalgiris-3/
FIBA Čempionų lyga: Utenos ”Juventus” – Malagos ”Unicaja”,Twinsbet Arena,Vilnius,2026-10-07,19:45,https://www.arenavilnius.lt/en/renginys/fiba-cempionu-lyga-utenos-juventus-malagos-unicaja/
UTMA 20,Twinsbet Arena,Vilnius,2026-10-24,19:00,https://www.arenavilnius.lt/en/renginys/utma-20/
Placebo | 30th Anniversary tour,Twinsbet Arena,Vilnius,2026-10-15,20:00,https://www.arenavilnius.lt/en/renginys/placebo-30th-anniversary-tour/
