title,location,city,start_date,start_time,event_link,ticket_link,scraped_at
Ieva Dūdaitė: Arena Piano Show,Kauno Žalgirio arena,Kaunas,2026-12-27,17:00,https://www.bilietai.lt/renginiai/5XHZRXHXJM,https://www.bilietai.lt/renginiai/5XHZRXHXJM,2026-05-25T08:27:03Z
Europos centro muziejus EUROPOS PARKAS,Europos parkas,Vilnius raj.,2026-12-30,22:00,https://www.bilietai.lt/renginiai/TD6M77TIBJ,https://www.bilietai.lt/renginiai/TD6M77TIBJ,2026-05-25T08:27:03Z
Apsilankymas Europos parke šeimai,Europos parkas,Vilnius raj.,2026-12-30,22:00,https://www.bilietai.lt/renginiai/ZMB2SW5Z2M,https://www.bilietai.lt/renginiai/ZMB2SW5Z2M,2026-05-25T08:27:04Z
NIJOLĖ NARMONTAITĖ IR ARNAS ŠVILPAUSKAS ''MADINGA PORA'' | Vilnius,COMPENSA koncertų salė,Vilnius,2027-01-03,14:00,https://www.bilietai.lt/renginiai/G2YNPVWRA3,https://www.bilietai.lt/renginiai/G2YNPVWRA3,2026-05-25T08:27:04Z
Meistras ir Margarita/ Мастер и Маргарита,COMPENSA koncertų salė,Vilnius,2027-01-19,17:00,https://www.bilietai.lt/renginiai/WC2F5DBBCP,https://www.bilietai.lt/renginiai/WC2F5DBBCP,2026-05-25T08:27:04Z
(Kaunas) Vagelis. Aikštelė,Kauno Žalgirio arena,Kaunas,2027-01-23,18:00,https://www.bilietai.lt/renginiai/Z3WA2SV6CF,https://www.bilietai.lt/renginiai/Z3WA2SV6CF,2026-05-25T08:27:04Z
CARMEN Catalan Flamenco Ballet | Vilnius,COMPENSA koncertų salė,Vilnius,2027-01-24,17:00,https://www.bilietai.lt/renginiai/3BRBWCYJIB,https://www.bilietai.lt/renginiai/3BRBWCYJIB,2026-05-25T08:27:04Z
Natalija Bunkė su Orkestru,Kauno Žalgirio arena,Kaunas,2027-02-05,18:00,https://www.bilietai.lt/renginiai/OHBZBH4PF6,https://www.bilietai.lt/renginiai/OHBZBH4PF6,2026-05-25T08:27:05Z
ADRINA,Kauno Žalgirio arena,Kaunas,2027-02-13,18:00,https://www.bilietai.lt/renginiai/PW3RSUGZG2,https://www.bilietai.lt/renginiai/PW3RSUGZG2,2026-05-25T08:27:05Z
(Vilnius) THE GRAND STARS ORCHESTRA ''The Greatest Film Music Show'',COMPENSA koncertų salė,Vilnius,2027-02-15,17:00,https://www.bilietai.lt/renginiai/44ZFBZAB5L,https://www.bilietai.lt/renginiai/44ZFBZAB5L,2026-05-25T08:27:05Z
Justinas Jarutis su simfoniniu orkestru,Kauno Žalgirio arena,Kaunas,2027-02-26,18:00,https://www.bilietai.lt/renginiai/ZMKLHQFXO6,https://www.bilietai.lt/renginiai/ZMKLHQFXO6,2026-05-25T08:27:05Z
BI-2,Arena Vilnius,Vilnius,2027-03-12,18:00,https://www.bilietai.lt/renginiai/GNIWVRX7ZW,https://www.bilietai.lt/renginiai/GNIWVRX7ZW,2026-05-25T08:27:05Z
PIKASO | Žalgirio arena,Kauno Žalgirio arena,Kaunas,2027-03-13,18:00,https://www.bilietai.lt/renginiai/FO7IO5CZYY,https://www.bilietai.lt/renginiai/FO7IO5CZYY,2026-05-25T08:27:05Z
Lilas ir Innomine | Dariaus ir Girėno stadionas,Dariaus ir Girėno stadionas,Kaunas,2027-05-22,16:00,https://www.bilietai.lt/renginiai/WJAD3CF2TM,https://www.bilietai.lt/renginiai/WJAD3CF2TM,2026-05-25T08:27:06Z
WESTLIFE 25: THE ANNIVERSARY WORLD TOUR,Kauno Žalgirio arena,Kaunas,2027-06-11,17:00,https://www.bilietai.lt/renginiai/2ASUZTR2MC,https://www.bilietai.lt/renginiai/2ASUZTR2MC,2026-05-25T08:27:06Z
ABpark - izklaides parka Avārijas Brigāde dāvanu karte,ABpark Dāvanu karte,,2027-08-31,07:00,https://www.bilietai.lt/renginiai/V62GURWNQ4,https://www.bilietai.lt/renginiai/V62GURWNQ4,2026-05-25T08:27:06Z
